Date,SPY_QQQ,SPY_GLD,SPY_TLT,SPY_USO,QQQ_GLD,QQQ_TLT,QQQ_USO,GLD_TLT,GLD_USO,TLT_USO
2010-01-05,,,,,,,,,,
2010-01-06,,,,,,,,,,
2010-01-07,,,,,,,,,,
2010-01-08,,,,,,,,,,
2010-01-11,,,,,,,,,,
2010-01-12,,,,,,,,,,
2010-01-13,,,,,,,,,,
2010-01-14,,,,,,,,,,
2010-01-15,,,,,,,,,,
2010-01-19,,,,,,,,,,
2010-01-20,,,,,,,,,,
2010-01-21,,,,,,,,,,
2010-01-22,,,,,,,,,,
2010-01-25,,,,,,,,,,
2010-01-26,,,,,,,,,,
2010-01-27,,,,,,,,,,
2010-01-28,,,,,,,,,,
2010-01-29,,,,,,,,,,
2010-02-01,,,,,,,,,,
2010-02-02,,,,,,,,,,
2010-02-03,,,,,,,,,,
2010-02-04,,,,,,,,,,
2010-02-05,,,,,,,,,,
2010-02-08,,,,,,,,,,
2010-02-09,,,,,,,,,,
2010-02-10,,,,,,,,,,
2010-02-11,,,,,,,,,,
2010-02-12,,,,,,,,,,
2010-02-16,,,,,,,,,,
2010-02-17,,,,,,,,,,
2010-02-18,,,,,,,,,,
2010-02-19,,,,,,,,,,
2010-02-22,,,,,,,,,,
2010-02-23,,,,,,,,,,
2010-02-24,,,,,,,,,,
2010-02-25,,,,,,,,,,
2010-02-26,,,,,,,,,,
2010-03-01,,,,,,,,,,
2010-03-02,,,,,,,,,,
2010-03-03,,,,,,,,,,
2010-03-04,,,,,,,,,,
2010-03-05,,,,,,,,,,
2010-03-08,,,,,,,,,,
2010-03-09,,,,,,,,,,
2010-03-10,,,,,,,,,,
2010-03-11,,,,,,,,,,
2010-03-12,,,,,,,,,,
2010-03-15,,,,,,,,,,
2010-03-16,,,,,,,,,,
2010-03-17,,,,,,,,,,
2010-03-18,,,,,,,,,,
2010-03-19,,,,,,,,,,
2010-03-22,,,,,,,,,,
2010-03-23,,,,,,,,,,
2010-03-24,,,,,,,,,,
2010-03-25,,,,,,,,,,
2010-03-26,,,,,,,,,,
2010-03-29,,,,,,,,,,
2010-03-30,,,,,,,,,,
2010-03-31,0.914535244909737,0.6392403607776954,-0.4058942943640378,0.7494302645081328,0.5256938933982068,-0.39680904427120994,0.6181289189653306,-0.3439950534839291,0.6668105589667722,-0.3734652589770324
2010-04-01,0.910718207354838,0.6435505578267599,-0.4138782281630175,0.7503989046459786,0.5199561460677945,-0.39774177860801596,0.6074322736645261,-0.34744577545765176,0.674390868168263,-0.38021605485168003
2010-04-05,0.9152259320341347,0.6561272230806685,-0.4363922514271628,0.7576073206003192,0.5494927938921428,-0.4431323244014329,0.6277038353364721,-0.32311654395991013,0.6711669963574988,-0.3916265871411746
2010-04-06,0.9165759262476332,0.662059360113375,-0.43772990412529433,0.7614406034079617,0.5507186950652446,-0.4421351571735504,0.6277544852458615,-0.3212226095671159,0.6698423243240089,-0.3908937495876094
2010-04-07,0.916921253402649,0.6383526710678848,-0.4456355865634663,0.7631779320292116,0.5364687868338696,-0.4417865616996801,0.628238045625338,-0.27920573311237884,0.6459836200819179,-0.40016028258948183
2010-04-08,0.9193548078276276,0.6436814341743475,-0.44603400951528693,0.7647460398424621,0.5528340015427904,-0.45058235834364635,0.625998940060281,-0.26924246651410727,0.6654155826146497,-0.4103272301167984
2010-04-09,0.9179155614896986,0.6366296128356644,-0.4209570708018653,0.7505559031518525,0.5369628647427549,-0.4202456271299486,0.6083945077171273,-0.20981803116069245,0.6427451666600992,-0.3828704179603838
2010-04-12,0.9171630598046868,0.6301516200678319,-0.40657662083748586,0.7661127472287608,0.5291363193113999,-0.4009576435268019,0.6300226792067887,-0.19827705049024555,0.6590648733967545,-0.4141460376786833
2010-04-13,0.9162152780429922,0.6294166431837341,-0.426641258167338,0.7678190721611672,0.5268985793215415,-0.40917181409229175,0.6286575215479892,-0.21917399272717683,0.6619865347521204,-0.41892604052863913
2010-04-14,0.9154030198242822,0.6194118793917767,-0.4266765667803612,0.7680319947672588,0.5163717008135482,-0.4087913815054042,0.628117052452972,-0.21008514612959586,0.6530112726264864,-0.4210757806908375
2010-04-15,0.9120014916958487,0.617175375037454,-0.4247122279536677,0.7662186113815681,0.5157106447685003,-0.40583437444803616,0.6228317732314287,-0.20562601296275934,0.6486904101857888,-0.41896291760380516
2010-04-16,0.9118245750268665,0.6279781978967516,-0.4241199004952198,0.771186792500169,0.5088200113987243,-0.3960195049360315,0.6196291281510735,-0.19068710264350275,0.6475462494140213,-0.4110227506992667
2010-04-19,0.9173359420598294,0.6113562904690525,-0.4188807770615558,0.7622602772643036,0.4962002102036168,-0.3869031224350317,0.6107721736080831,-0.1774811635447089,0.6369023622785324,-0.39701137438213596
2010-04-20,0.9025849203969346,0.6444816170023865,-0.4487733791933523,0.7529734685974211,0.5369862883129096,-0.4376120781065077,0.5933623398667294,-0.17608624571898643,0.6446656942156308,-0.40823172895152765
2010-04-21,0.8969985509766367,0.6362750728480017,-0.44915928593914206,0.7518481669178798,0.5386226558607107,-0.4230687243286459,0.5919659978026443,-0.15916046452202656,0.6413017027737459,-0.40169549050993936
2010-04-22,0.8992647372425048,0.6369081613266239,-0.4510337370303725,0.749708423201364,0.5339601054963008,-0.42473622892718615,0.5913042983872868,-0.15544817710668696,0.6426903742707527,-0.40148058065150366
2010-04-23,0.8988241147988904,0.6513562548655808,-0.4538803590885463,0.7618694998797982,0.5503199832503977,-0.42656923739795405,0.6060096280499915,-0.1646339067746227,0.6432288471120484,-0.4086701842512001
2010-04-26,0.9143255670557123,0.665333414009043,-0.46716331972005126,0.7836476942310343,0.6040732325853788,-0.4777131822815212,0.675486814879227,-0.16577569682698196,0.6442737788274756,-0.4079097037756064
2010-04-27,0.9293880382258282,0.5276949436441004,-0.5000520454608431,0.7817299049462086,0.487677498240853,-0.5053062513428543,0.6901685960306726,-0.10306623764103864,0.5812935532009772,-0.42674639369152906
2010-04-28,0.922601772099711,0.49399639246618826,-0.48870101644609426,0.7730613986860655,0.47238152978592357,-0.482618254139705,0.675014272931206,-0.05642300512339239,0.5484136398150481,-0.41501891812837066
2010-04-29,0.9233481519170822,0.4799573720200734,-0.48313500606729254,0.7744040033749221,0.45073845513900274,-0.45736951218063554,0.6850164035591938,-0.06140663799503608,0.5314905294663949,-0.4050133564720127
2010-04-30,0.9402394401979494,0.42557385747941084,-0.5472438342204002,0.7341753795661301,0.3915290182098865,-0.4905242455594742,0.6295399347209564,-0.05296797247697541,0.5343602665176885,-0.3939378980830375
2010-05-03,0.9240905381306223,0.2271361965768075,-0.48510245186371964,0.6572215974622797,0.19506753486515144,-0.4189068059247357,0.5297293972724939,0.10702046908921099,0.4145723721178887,-0.31759923049518146
2010-05-04,0.9393573916234308,0.2569978477726186,-0.5503171955601593,0.7169987959644798,0.2295276060096036,-0.5075706027783011,0.6334629111254582,0.0602638075111669,0.4365422002827555,-0.3963901470572407
2010-05-05,0.9388598972487311,0.24323594438681576,-0.5590717338969241,0.7184480317143119,0.21624625534470054,-0.5156415064294755,0.6349056897281201,0.06237547052080368,0.414813846613222,-0.4055920616080866
2010-05-06,0.9529403851602436,0.0014489276729873484,-0.651460817595681,0.7293861002493554,-0.006786734194580599,-0.6172501861492344,0.6638172374200926,0.24982357343662764,0.25095673983770594,-0.45289847298083385
2010-05-07,0.9495855003645536,0.009985118189410166,-0.5888266704416096,0.7392716440828992,0.007753767437278141,-0.5110483639576919,0.6698938298455304,0.2480148291747754,0.2599435244218629,-0.40464919197063626
2010-05-10,0.9625482161873392,-0.0694522834514868,-0.6428518753747464,0.7213725399839858,-0.08283496610863933,-0.5790329814887282,0.6574951439497873,0.2968168852251168,0.229043683965322,-0.4345108171617423
2010-05-11,0.9628452381869246,-0.08203929437328213,-0.6384785615339849,0.723128200541745,-0.08708019736972604,-0.5777036856912383,0.6606112221549201,0.26842511048785955,0.18481572147995548,-0.4246444011972969
2010-05-12,0.9639337761565536,-0.12756884205356261,-0.6579887218898006,0.7065722628861677,-0.11428732095508062,-0.5928647515963668,0.6486528716734186,0.2646524907383934,0.1095911625628496,-0.4481275665839891
2010-05-13,0.9647012560658889,-0.10417169045651566,-0.6648210380712506,0.7120048954134824,-0.08816837846884772,-0.5991161297984822,0.6556583248955243,0.24450298890742025,0.12615574720397862,-0.45438628645314033
2010-05-14,0.9661935903017917,-0.09677111625137602,-0.6810110581109499,0.7292870374959481,-0.0813233300438752,-0.6176021251208699,0.6749484982547225,0.23352684309323252,0.12376268650172335,-0.4849880658238138
2010-05-17,0.9663872037948005,-0.09484643187405353,-0.6818506372039126,0.717452281026757,-0.08513043976793308,-0.6180363238736435,0.6617034990936111,0.24658446704408096,0.15275314209242738,-0.46955876998802165
2010-05-18,0.9674487625805619,-0.0931251620603727,-0.6939887295115666,0.7179480623517197,-0.0855265463532555,-0.6331129612240382,0.6638921687296365,0.2363633185734974,0.15355322717284794,-0.47426980354990345
2010-05-19,0.9668058841544261,-0.08994400893505446,-0.686160367692253,0.709443976416088,-0.07548429100729481,-0.6235305211066903,0.6531240175207687,0.25453428849170034,0.12094828220492329,-0.4618815939918698
2010-05-20,0.9704849904288836,-0.03305918903596689,-0.7203291595324758,0.7309832813163001,-0.025653242514907405,-0.663679658085489,0.6806475645554824,0.21672723913725384,0.15666630831167372,-0.5099658002837392
2010-05-21,0.9697477373672462,-0.044418594205938106,-0.7132375653168217,0.7337456370699895,-0.03396062169583427,-0.6617211801266958,0.6873939897740139,0.21221043063411818,0.1695671163943051,-0.5075378763209833
2010-05-24,0.9659823585908002,-0.06615097346717577,-0.697831327311608,0.735397225018832,-0.043945414974402824,-0.6601150330896473,0.6907220977677151,0.19320375965943493,0.151810424945273,-0.5221995015555635
2010-05-25,0.9657844180164676,-0.06426232204814902,-0.6978561474042833,0.7476459312390891,-0.041940042964475684,-0.6618433970586777,0.7072254232623312,0.19461129763969584,0.1487245252270516,-0.5265763580205276
2010-05-26,0.964840879938495,-0.07667549511178715,-0.6916330764454024,0.7225508591712476,-0.058619859044975214,-0.6502987411471666,0.6709733460099006,0.19622431075853114,0.14998992850942283,-0.526737512206213
2010-05-27,0.9687156047845646,-0.0698790011869595,-0.7250934075969467,0.7601884974027359,-0.05249948328172534,-0.689000025257482,0.7159312394226363,0.18552348704211502,0.13729717270650432,-0.5825728915066044
2010-05-28,0.9666792188418296,-0.06712926238895242,-0.7281857759730381,0.7603436645476422,-0.04998685531160673,-0.6929036198691728,0.7178578384271287,0.19301316799543902,0.13478980718761405,-0.5829015605711458
2010-06-01,0.9635316491954815,-0.07901651999423684,-0.722394342356356,0.7614758777144494,-0.0552645327965617,-0.6877145054764545,0.7138702666610208,0.19924196625352225,0.12155675243179347,-0.5755469446828487
2010-06-02,0.9646799800938461,-0.08386832664914198,-0.7308260648255867,0.7656672538444471,-0.058605107197933354,-0.69716500678812,0.7209794808757596,0.19278043197608763,0.11779814228207572,-0.5861127588272296
2010-06-03,0.9641012539330615,-0.08910041113365408,-0.7296739176461966,0.7653856918539176,-0.07305261941352073,-0.7000336930858531,0.7256230970413541,0.21104099136967516,0.09055637070076406,-0.591991954264505
2010-06-04,0.96732522361911,-0.11317362222843176,-0.7564727447952776,0.7860234687012017,-0.09203990432634572,-0.7271468386412113,0.7474717561349109,0.22966440002239072,0.06702859220154835,-0.6284859239534808
2010-06-07,0.9667456647407481,-0.13136990316199212,-0.7605469638571503,0.7811173539988,-0.1201465273739737,-0.7302376610549022,0.7383225938604794,0.24030364650672786,0.06672277470866227,-0.6284213199623605
2010-06-08,0.9605500886607591,-0.13747259528941053,-0.7646379489183516,0.7866906677149551,-0.11888653999425981,-0.7291073906605908,0.7328196475275758,0.2522412923048655,0.049611460196905426,-0.6303731212077516
2010-06-09,0.9606607660987716,-0.13501967777050583,-0.7625546011330672,0.7748695034821517,-0.11407372993272395,-0.7262423003811191,0.714209439949943,0.25491426217570434,0.04040787171362522,-0.6339049886699822
2010-06-10,0.9628567918688106,-0.19568844241946998,-0.7887196088212788,0.7814412388210937,-0.16807108995103814,-0.7507673340817078,0.7251443605918622,0.27626998549962767,-0.026616489516292065,-0.6726305398667712
2010-06-11,0.9628684553256021,-0.18505037524483556,-0.776936296542385,0.7724580741095431,-0.15708272235091242,-0.7307110198344117,0.7133429600261811,0.29118212808147537,-0.02497170669795757,-0.6818486546666992
2010-06-14,0.9632341164930249,-0.18515850114160487,-0.7751431298780195,0.7723799666899257,-0.1597728376431183,-0.7284904858363419,0.7149626238307926,0.29927508979644296,-0.024908488442013772,-0.6853673540656446
2010-06-15,0.9646101775533942,-0.1706471550206368,-0.7717046600673491,0.7811108101979721,-0.1443320320202312,-0.7247161296746595,0.7253480676781013,0.2974747764415307,-0.02924830918618748,-0.6883711109969671
2010-06-16,0.9642409727650348,-0.16662824303409493,-0.7713291092381558,0.7792813564684031,-0.14140677431913704,-0.7231605577074088,0.7242871901652898,0.2915881682103272,-0.02868909199812886,-0.6845051900013913
2010-06-17,0.9641157394386466,-0.1655153532435328,-0.7657389893728065,0.7769723881613588,-0.13880753196058404,-0.7168430354613784,0.7212249121580577,0.3035648801703771,-0.036993793645401854,-0.6851947210582678
2010-06-18,0.9640607771613373,-0.17988633894752082,-0.7991065827759779,0.7777913477900724,-0.1526351593056665,-0.7484914004878302,0.7214804924758831,0.2516639295496135,-0.0649011183305634,-0.7400981410318485
2010-06-21,0.963056563096904,-0.16737990471146832,-0.8016266682114797,0.7777887704567816,-0.1279312469798086,-0.746717362015396,0.7202811122753413,0.2618363144185026,-0.0612686094691772,-0.742144165686914
2010-06-22,0.960600486124458,-0.180130102270834,-0.8050375694720893,0.7764825604915565,-0.13686414066002672,-0.7470675571015426,0.721120163648215,0.27195812836942596,-0.0661713882566848,-0.7415927021960479
2010-06-23,0.9606328879043274,-0.1783497529859138,-0.8036630556718318,0.776757315666374,-0.13429276334257745,-0.7466096892916168,0.7247905335760505,0.266550003043835,-0.05623163377009363,-0.7440124372359588
2010-06-24,0.9612232292694378,-0.17786118225768358,-0.7804452408949025,0.7636123355577136,-0.13201879439378356,-0.7275902795512769,0.7141946845629493,0.267359256597144,-0.05425487622982242,-0.7443979103238492
2010-06-25,0.9606492278015859,-0.16956331716359785,-0.7786181505488582,0.7543176618798786,-0.12765151394940744,-0.7269067185609936,0.6991768865097688,0.26455830427973875,-0.027855276903758414,-0.7227030063388705
2010-06-28,0.9623917112498359,-0.1739404382011965,-0.7758168047649662,0.754182680628955,-0.12334869140378513,-0.7262107550643667,0.7068353894836586,0.2500977726505469,-0.03589062799635281,-0.725773721714926
