Model,Hypothesis,Measure,Contrast
original,H1,realised_volatility,0.07012662445545259
original,H1,maximum_drawdown,0.14041039246945008
original,H1,mean_pairwise_correlation,0.1130647659938859
original,H2,peak_asset_herding,0.1655124700527265
original,H2,realised_volatility,0.0030643533778987875
original,H3,realised_volatility,-0.06204150087388578
original,H3,maximum_drawdown,-0.107077313634101
original,H3,normalised_liquidity_deterioration,-0.17944363649296557
original,H4,realised_volatility,-0.10552789350255955
original,H4,maximum_drawdown,-0.16682365208550465
original,H4,recovery_time,-4.655555555555555
calibrated,H1,realised_volatility,0.02276070035479991
calibrated,H1,maximum_drawdown,0.06547698882477974
calibrated,H1,mean_pairwise_correlation,0.04528191484852631
calibrated,H2,peak_asset_herding,0.19139673819428238
calibrated,H2,realised_volatility,0.003642574574886249
calibrated,H3,realised_volatility,-0.01871322266163682
calibrated,H3,maximum_drawdown,-0.018833606825746613
calibrated,H3,normalised_liquidity_deterioration,-0.17450356130328648
calibrated,H4,realised_volatility,-0.018459457792113117
calibrated,H4,maximum_drawdown,-0.049632486604850534
calibrated,H4,recovery_time,-1.35
