Dataset,Asset,Count,Median,Q75,Q90,Q95,Maximum
historical_calibration,SPY,119,0.024428522694466274,0.04053876097597652,0.06655022528251804,0.08345110699758325,0.11207541175121714
historical_calibration,QQQ,119,0.030868425729147116,0.049072676266972655,0.07744315074042461,0.09362755902938859,0.1283428642542461
historical_calibration,GLD,119,0.035694331237559856,0.05016400665913742,0.06750594385344516,0.07606123074574749,0.14745690603828823
historical_calibration,TLT,119,0.02784472459417594,0.03855172546052747,0.05282163239040228,0.06045580180324881,0.09767692318975389
historical_calibration,USO,119,0.06353457872483606,0.10807766616346351,0.15325555046334322,0.16168581391939385,0.27684295275919046
historical_holdout,SPY,71,0.030166301610632665,0.05967222977269451,0.0944045565464221,0.12254170976358868,0.28319045928761183
historical_holdout,QQQ,71,0.04205716665303421,0.07241067037204235,0.13224755155651918,0.1409173402803372,0.22417738992085293
historical_holdout,GLD,71,0.03563645124998519,0.052628854094450145,0.06589731856912077,0.07479613222544995,0.12527726112612347
historical_holdout,TLT,71,0.03606462034363047,0.04970733481436193,0.08257260623292965,0.09210897602471303,0.15727714280971836
historical_holdout,USO,71,0.07647053973427356,0.11283315320686192,0.1622340396300721,0.17553989715558907,0.6389830372861596
simulated_baseline_holdout,SPY,50,0.04540882484612001,0.05849103158449755,0.06924351168562438,0.08605828452963113,0.1285172010880104
simulated_baseline_holdout,QQQ,50,0.05130828485449636,0.06346096225422769,0.0786004935960178,0.09565473838624615,0.15761082649267705
simulated_baseline_holdout,GLD,50,0.05150845271936941,0.06820737455213677,0.08472631605566466,0.09789686354104629,0.11522450003256002
simulated_baseline_holdout,TLT,50,0.0434354917170091,0.06300162068106571,0.0774558451888732,0.08050040972533842,0.10632036325923679
simulated_baseline_holdout,USO,50,0.09954756388482179,0.1279819396725987,0.15365737399001908,0.16748833975771374,0.1810071656184132
simulated_selected_holdout,SPY,50,0.044810745147912764,0.05802876388050057,0.06823772700842984,0.08507289167733463,0.12902947048850344
simulated_selected_holdout,QQQ,50,0.0509621394553007,0.06017646668579263,0.07942614791373015,0.09516116433949688,0.15593384344574762
simulated_selected_holdout,GLD,50,0.05135441461611204,0.06640167937791167,0.08434449280646057,0.09832057138725865,0.11413098136351939
simulated_selected_holdout,TLT,50,0.042959655098031874,0.06437817179982747,0.0771146734606944,0.0807215237682102,0.10702756486849815
simulated_selected_holdout,USO,50,0.09590922621401829,0.12545580300065637,0.1507015724225863,0.1680941631986884,0.17910287934566765
