Outcome,Term,Coefficient,StdError,NormalApproxP,CI95Low,CI95High,StandardisedEffect
realised_volatility,Intercept,-0.004885315459502882,0.0042906923613802665,0.2548765311061816,-0.013295072487808205,0.0035244415688024397,-0.056520308664600956
realised_volatility,participation,0.08728452432251375,0.007050201800900637,0.0,0.0734661287927485,0.10110291985227901,0.28228932046745053
realised_volatility,similarity,-0.0006148189378852933,0.00471596415530298,0.8962739201262395,-0.009858108682279135,0.008628470806508548,-0.0026191964931982096
realised_volatility,participation_x_similarity,0.010598558976914418,0.010083155495686032,0.2932056395639835,-0.009164425794630206,0.030361543748459043,0.02649185656398959
realised_volatility,amm,-0.031005857541780223,0.003472635109295693,0.0,-0.03781222235599978,-0.024199492727560664,-0.17938079122155345
realised_volatility,participation_x_amm,-0.08276171555228184,0.007424806176152434,0.0,-0.09731433565754061,-0.06820909544702308,-0.2608846255168123
realised_volatility,shock_liquidity,0.07204774521977694,0.002541708642363977,0.0,0.06706599628074354,0.07702949415881034,0.3929853136878778
realised_volatility,shock_volatility,0.00211497754051964,0.002541708642363974,0.40534766564960245,-0.0028667713985137486,0.007096726479553029,0.011536171044194963
realised_volatility,safeguard_circuit_breaker,0.02208991962933094,0.0035945188336320446,7.973937066196868e-10,0.015044662715412133,0.02913517654324975,0.09525550223624249
realised_volatility,safeguard_execution_delay,0.03515389281043076,0.0035945188336320437,0.0,0.02810863589651196,0.04219914972434957,0.15158958345735
realised_volatility,safeguard_liquidity_buffer,0.0015920539337617584,0.0035945188336320437,0.6578297076642188,-0.005453202980157047,0.008637310847680563,0.006865208185108053
realised_volatility,safeguard_none,0.05411098786814092,0.0035945188336320437,0.0,0.04706573095422211,0.06115624478205973,0.23333581164482955
realised_volatility,safeguard_position_limit,0.04335395464923183,0.0035945188336320437,0.0,0.03630869773531302,0.05039921156315064,0.1869496491312014
maximum_drawdown,Intercept,0.04445083820856586,0.0074863139079376665,2.892009076660429e-09,0.029777662949008032,0.05912401346812368,0.29539758551499085
maximum_drawdown,participation,0.1800107781711567,0.012301050588225091,0.0,0.15590071901823555,0.20412083732407788,0.33440347531209486
maximum_drawdown,similarity,-0.0001777304077550529,0.008228319597777674,0.9827671591309488,-0.016305236819399292,0.015949776003889186,-0.0004349082595173279
maximum_drawdown,participation_x_similarity,0.0056540471064849135,0.01759288731643524,0.747920500264176,-0.02882801203372816,0.040136106246697986,0.008117832213267
maximum_drawdown,amm,-0.04057285152799145,0.006058984034816697,2.1374457759293364e-11,-0.052448460236232175,-0.028697242819750723,-0.13482883866443135
maximum_drawdown,participation_x_amm,-0.17734523228295915,0.012954652782981297,0.0,-0.2027363517376025,-0.1519541128283158,-0.3211098243599709
maximum_drawdown,shock_liquidity,0.10187492183408597,0.004434722221178707,0.0,0.0931828662805757,0.11056697738759624,0.31918192478939217
